ts,open,high,low,close,volume,trades,longOpenInterest,shortOpenInterest,profit,loss,profitCumulative,lossCumulative
2021-09-28,42176.3,42750.0,40875.6,41038.4,2231.71257206,20996,9679034489550589098285537189683740000,6858876378887903880565226974366290000,32160004506597245130829125858060623,99731179267611842798166822721646712,2082740085502502587874002983453808458,3777445955969887122773142469594076227
2021-09-29,41016.0,42579.9,40772.2,41524.8,1708.2588589999,20501,9517870491170939044195139969683740000,803025501836296429250507834366290000,124806969175983371263013489697782154,47616073695410804157521388150282067,2207547054678485959137016473151590612,3825062029665297926930663857744358294
2021-09-30,41523.9,44100.0,41423.7,43798.7,3053.6462907101,37817,9982651984208133011782298431159200000,691228917466580325368286744031700000,58033950269174139257279137869943193,34599262394818984882879823127190366,2265581004947660098394295611021533805,3859661292060116911813543680871548660
2021-10-01,43798.7,48475.0,43300.3,48163.7,6512.5404859505,39544,8751826817527147741749487609989450000,646470888259348822473023534366290000,180758204010149316567985134046830835,36513412838520036333838422688050943,2446339208957809414962280745068364640,3896174704898636948147382103559599603
2021-10-02,48168.8,48349.2,47487.1,47662.0,1621.17649347,17654,9081490167147591428789010996214030000,472700873529764757891122909366290000,117118329912016328056756136110528215,24940557634063329862609686274342510,2563457538869825743019036881178892855,3921115262532700278009991789833942113
2021-10-03,47657.3,49257.9,47131.1,48230.2,1653.13750113,18982,11041495907611454851043305172214030000,439408891222133740704956939366290000,24068451852023177572005370404839081,10577208340251456836709089336687711,2587525990721848920591042251583731936,3931692470872951734846700879170629824
2021-10-04,48228.6,49500.0,46895.8,49243.3,2828.9287497,27884,9621969337621534529479071319214030000,781273058783158695679585279859940000,88851260419886712137712526569875047,115321872625412867864380684436568611,2676377251141735632728754778153606983,4047014343498364602711081563607198435
2021-10-05,49239.2,51888.0,49084.3,51487.0,4047.3145890401,33590,12685909362995761540192641047080170000,747790184488923056934929358163230000,124497340713723111548128164260487863,12933310210604485784544793381593805,2800874591855458744276882942414094846,4059947653708969088495626356988792240
2021-10-06,51492.9,55770.0,50366.4,55350.2,7380.2335466005,51966,13548721754101402073481424587610280000,377039193159394899225205676166290000,362714833991101063729480211815779009,59068521327961416311153605506524451,3163589425846559808006363154229873855,4119016175036930504806779962495316691
2021-10-07,55350.2,55352.2,53399.8,53817.3,3123.8602239701,30878,12859150342268758694092240478443040000,312422038909971794432516216166290000,169330778366474723726591032257394725,15169045459972274276041829871189199,3332920204213034531732954186487268580,4134185220496902779082821792366505890
2021-10-08,53817.4,56114.1,53685.0,53960.5,2630.7722918301,29411,13880037644527121529468281049361440000,548615130222787970424895839166290000,69629593230012516393924673217039088,27057273278303239835354343113370557,3402549797443047048126878859704307668,4161242493775206018918176135479876447
2021-10-09,53960.9,55515.1,53700.0,54960.2,1238.78854205,19258,15186117753594496219530224377062690000,545716489740108572525220999166290000,36914197875123946433052344123830294,7142833576832181472737138244185214,3439463995318170994559931203828137962,4168385327352038200390913273724061661
2021-10-10,54967.4,56500.0,54118.6,54677.5,2295.10818143,25688,14715493001152929486170337396897010000,377564150050436451168751919166290000,81503102750689033859442838930750671,88758243614084157200620665738705528,3520967098068860028419374042758888633,4257143570966122357591533939462767189
2021-10-11,54678.9,57837.7,54450.2,57499.5,2787.0961290401,31938,16053696687499181204757105082227930000,346213609725811226164189007166290000,204917484923601339709106050241705633,32471734477628385200460246552189683,3725884582992461368128480093000594266,4289615305443750742791994186014956872
2021-10-12,57482.8,57673.8,54019.2,56010.1,3699.8367330301,36112,14173707249497816921967415248227930000,947655758247975794038484449166290000,56264649170969668193451532198300428,176001634334599276183790021461166230,3782149232163431036321931625198894694,4465616939778350018975784207476123102
