timestamp,open,high,low,close,volume_btc,volume_ccy,weighted_price,ts
1658880000,21264.4,21282.1,21264.3,21278.8,0.65938934,14025.455292574,21270.370086016253,2022-07-27 00:00:00
1658880060,21282.3,21282.3,21237.8,21237.8,5.55438045,118074.234984367,21257.858738208506,2022-07-27 00:01:00
1658880120,21226.7,21242.7,21222.2,21235.9,15.3945079,326776.980284158,21226.85456442281,2022-07-27 00:02:00
1658880180,21233.1,21233.1,21194.7,21220.8,6.63596322,140765.729961522,21212.55427354855,2022-07-27 00:03:00
1658880240,21220.9,21237.2,21215.1,21223.4,1.34714527,28605.974478104,21234.5135414416,2022-07-27 00:04:00
1658880300,21222.0,21222.6,21201.2,21222.0,2.30433676,48873.94769639,21209.550854185913,2022-07-27 00:05:00
1658880360,21213.1,21244.3,21207.9,21233.8,2.67767798,56814.787531311,21217.931340388808,2022-07-27 00:06:00
1658880420,21233.9,21243.0,21227.0,21240.3,2.48848879,52852.258341136,21238.69657501491,2022-07-27 00:07:00
1658880480,21238.8,21250.0,21238.7,21250.0,0.44715818,9498.201339813,21241.25592382767,2022-07-27 00:08:00
1658880540,21249.9,21250.0,21243.4,21247.3,5.9181271,125753.974234704,21248.94786979212,2022-07-27 00:09:00
1658880600,21241.3,21250.0,21241.3,21250.0,0.57579505,12231.803233917,21243.328218811537,2022-07-27 00:10:00
1658880660,21250.0,21279.0,21250.0,21275.5,36.1505176,768305.057131814,21252.947623959164,2022-07-27 00:11:00
1658880720,21273.1,21273.1,21253.9,21261.5,1.95065115,41468.581667226,21258.84049909488,2022-07-27 00:12:00
1658880780,21260.0,21260.0,21256.5,21256.5,0.35578965,7563.022177697,21257.004462319237,2022-07-27 00:13:00
1658880840,21256.5,21264.8,21256.4,21259.6,5.42701966,115382.361348453,21260.722933967223,2022-07-27 00:14:00
1658880900,21261.0,21271.0,21257.6,21266.6,4.87803587,103705.068651577,21259.595340281292,2022-07-27 00:15:00
1658880960,21259.6,21261.6,21225.0,21225.0,1.51308132,32141.326862571,21242.299695148573,2022-07-27 00:16:00
1658881020,21218.0,21225.0,21217.9,21225.0,6.4612983,137131.567925267,21223.531488287266,2022-07-27 00:17:00
1658881080,21221.4,21221.4,21200.0,21207.3,0.83732029,17758.306386098,21208.498824384154,2022-07-27 00:18:00
1658881140,21209.8,21221.1,21200.0,21221.1,25.40333424,538681.382546298,21205.144862365833,2022-07-27 00:19:00
1658881200,21227.0,21231.7,21213.3,21218.3,1.18106739,25071.278101089,21227.644005215487,2022-07-27 00:20:00
1658881260,21218.4,21221.6,21218.4,21221.6,0.85220057,18083.139933584,21219.347381548923,2022-07-27 00:21:00
1658881320,21226.2,21228.8,21221.5,21226.4,1.07633017,22846.441472579,21226.239038323158,2022-07-27 00:22:00
1658881380,21226.4,21226.4,21221.5,21221.5,0.06563173,1392.820166158,21221.750000464715,2022-07-27 00:23:00
1658881440,21221.6,21221.6,21194.4,21212.4,24.06459348,510173.924531589,21200.18877341904,2022-07-27 00:24:00
1658881500,21208.9,21208.9,21193.7,21195.6,0.11003033,2333.313959497,21206.097986773282,2022-07-27 00:25:00
1658881560,21195.8,21198.6,21194.1,21198.1,0.18053101,3826.735495175,21197.108990721317,2022-07-27 00:26:00
1658881620,21198.1,21198.1,21198.0,21198.1,0.06014114,1274.874649834,21198.04596045236,2022-07-27 00:27:00
1658881680,21198.1,21198.1,21196.0,21196.0,0.03529125,748.090634678,21197.623622796018,2022-07-27 00:28:00
1658881740,21197.1,21207.0,21197.1,21206.9,1.13059951,23969.796280129,21200.961143286713,2022-07-27 00:29:00
1658881800,21207.9,21207.9,21188.8,21191.8,2.70576136,57336.695536553,21190.59588335351,2022-07-27 00:30:00
1658881860,21190.6,21190.6,21186.1,21186.1,1.18244274,25056.35540488,21190.332992259737,2022-07-27 00:31:00
1658881920,21186.2,21186.2,21175.0,21175.1,2.11493706,44790.909565715,21178.36526336864,2022-07-27 00:32:00
1658881980,21175.1,21175.1,21164.9,21165.0,0.5629665,11917.475818577,21169.06746418659,2022-07-27 00:33:00
1658882040,21165.0,21165.0,21157.0,21157.0,0.33025798,6989.09522562,21162.532471191156,2022-07-27 00:34:00
1658882100,21157.1,21157.1,21157.1,21157.1,0.0978363,2069.93238273,21157.1,2022-07-27 00:35:00
1658882160,21157.0,21165.2,21156.0,21156.1,2.05319469,43441.740099287,21158.120226429673,2022-07-27 00:36:00
1658882220,21156.1,21156.4,21156.0,21156.1,7.06068617,149376.678674015,21156.113595403574,2022-07-27 00:37:00
1658882280,21156.2,21156.2,21156.0,21156.0,0.01348214,285.228842947,21156.051112583016,2022-07-27 00:38:00
1658882340,21156.0,21156.1,21156.0,21156.1,0.00093049,19.685476253,21156.0320401079,2022-07-27 00:39:00
1658882400,21156.4,21177.0,21156.4,21176.9,1.03450264,21899.427952856,21169.040180367254,2022-07-27 00:40:00
1658882460,21177.0,21177.0,21176.9,21176.9,0.3349422,7093.0659694,21176.985072051237,2022-07-27 00:41:00
1658882520,21176.9,21179.0,21176.9,21179.0,0.07934003,1680.176215432,21176.90421130418,2022-07-27 00:42:00
1658882580,21177.0,21180.6,21173.2,21176.5,0.742642,15726.493429923,21176.412632093256,2022-07-27 00:43:00
1658882640,21177.7,21179.5,21173.6,21173.6,0.03438304,728.170148941,21178.178222199083,2022-07-27 00:44:00
1658882700,21181.9,21193.5,21181.9,21193.5,0.01991913,421.995523405,21185.439494847415,2022-07-27 00:45:00
1658882760,21188.4,21200.0,21188.4,21197.7,0.14587761,3092.067773638,21196.315004324515,2022-07-27 00:46:00
1658882820,21184.8,21184.8,21163.7,21168.2,0.16662162,3527.154940651,21168.65110692718,2022-07-27 00:47:00
1658882880,21163.7,21173.7,21163.7,21167.0,1.03375576,21884.096194655,21169.50351469384,2022-07-27 00:48:00
1658882940,21168.3,21168.3,21156.1,21156.1,1.01097652,21393.698125781,21161.419382698423,2022-07-27 00:49:00
1658883000,21156.1,21156.1,21150.0,21154.2,7.76480547,164239.220804742,21151.749575606817,2022-07-27 00:50:00
1658883060,21149.8,21162.3,21149.8,21157.6,0.04671478,988.328771345,21156.661154028767,2022-07-27 00:51:00
1658883120,21155.6,21161.9,21155.6,21160.5,0.00746482,157.927711904,21156.26524202861,2022-07-27 00:52:00
1658883180,21158.7,21174.9,21158.7,21174.9,1.18913778,25177.860466813,21173.207083550067,2022-07-27 00:53:00
1658883240,21169.4,21169.4,21163.9,21166.4,0.0331403,701.493420491,21167.382929273423,2022-07-27 00:54:00
1658883300,21166.4,21182.3,21166.4,21182.3,0.08219914,1739.971257509,21167.75500946847,2022-07-27 00:55:00
1658883360,21190.4,21192.3,21186.7,21188.8,3.2173077,68176.447525984,21190.52757247434,2022-07-27 00:56:00
1658883420,21188.9,21195.9,21187.2,21191.0,1.08891645,23076.480470461,21192.149747082065,2022-07-27 00:57:00
1658883480,21192.0,21205.0,21192.0,21205.0,0.32482929,6885.458903902,21197.161450255917,2022-07-27 00:58:00
1658883540,21205.0,21209.7,21205.0,21209.7,0.25567794,5422.46859984,21208.19887644589,2022-07-27 00:59:00
1658883600,21210.0,21217.6,21204.7,21216.8,0.22461626,4764.847047034,21213.27746724124,2022-07-27 01:00:00
1658883660,21214.5,21220.0,21212.0,21220.0,0.20800243,4413.05222992,21216.349395148893,2022-07-27 01:01:00
1658883720,21221.0,21221.0,21216.9,21218.3,0.39830203,8451.818475574,21219.621892396583,2022-07-27 01:02:00
